Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CS-Min,Gold-Min,KP%,DMG%,DP-Min,Vision Puntuation Min,Avg Wards Min,Avg Wards Cleared Min,Avg Vision Wards Min,Gold Difference Min-15,CS Difference Min-15,XP Difference Min-15,First Blood Participation %,First Blood Victim %,Penta Kills,Solo Kills,Split,Team
Fujimoto, JP,10.0,60.0,4.3,0.7,2.5,10.1,1.2,232.0,71.9,8.2,151.0,2.89,1.78,0.4,0.49,151.0,0.0,-53.0,20.0,0.0,0.0,,2021 Summer,
Funahwi, JP,12.0,58.3,3.4,2.3,2.8,7.1,4.8,316.0,77.2,15.4,267.0,1.54,0.53,0.32,0.35,-324.0,-11.0,-576.0,25.0,8.3,0.0,1.0,2021 Summer,
Furkoazki, TR,8.0,12.5,1.3,1.0,5.4,6.3,1.2,230.0,56.1,10.2,192.0,2.34,1.25,0.32,0.37,-204.0,0.0,-374.0,25.0,12.5,0.0,,2021 Summer,
Furuy, NL,27.0,63.0,5.0,4.6,2.1,5.9,8.6,417.0,68.9,28.6,641.0,0.97,0.44,0.15,0.19,116.0,2.0,131.0,22.2,3.7,0.0,13.0,2021 Summer,
GALA, CN,58.0,62.1,4.7,4.2,2.0,5.3,9.4,435.0,60.3,27.7,590.0,1.17,0.36,0.37,0.12,123.0,7.0,252.0,5.2,0.0,0.0,3.0,2021 Summer,
GIDEON, KR,5.0,40.0,3.0,1.6,2.2,5.0,4.9,290.0,73.5,12.0,197.0,1.74,0.36,0.61,0.36,-796.0,-13.0,-622.0,20.0,0.0,0.0,,2021 Summer,
Gaboesh, NL,14.0,35.7,2.1,2.1,3.9,6.1,5.6,330.0,55.7,18.5,324.0,1.37,0.35,0.36,0.33,-551.0,-8.0,-473.0,28.6,0.0,0.0,3.0,2021 Summer,
Gaca, RS,2.0,50.0,5.7,4.5,3.0,12.5,5.4,352.0,69.2,14.2,357.0,1.05,0.28,0.21,0.26,-532.0,-6.0,-200.0,0.0,50.0,0.0,1.0,2021 Summer,
Gadget, BY,58.0,62.1,4.0,4.3,2.7,6.2,8.4,421.0,61.9,25.6,575.0,1.12,0.39,0.27,0.1,-17.0,-4.0,-69.0,31.0,10.3,0.0,19.0,2021 Summer,
Gaeng, KR,37.0,64.9,3.9,0.6,2.8,10.3,1.0,232.0,67.9,7.5,137.0,2.37,1.6,0.29,0.53,-103.0,0.0,73.0,27.0,2.7,0.0,,2021 Summer,
Gaethan, FR,30.0,56.7,2.7,4.5,4.0,6.4,7.4,408.0,65.6,23.7,501.0,0.82,0.28,0.19,0.16,557.0,12.0,156.0,33.3,16.7,0.0,16.0,2021 Summer,
Gagai, GR,18.0,38.9,2.9,4.7,3.6,5.7,9.2,440.0,66.4,28.5,626.0,1.0,0.36,0.3,0.12,-386.0,3.0,-302.0,22.2,11.1,0.0,4.0,2021 Summer,
Galaxy, PT,10.0,50.0,4.2,5.4,2.3,4.2,8.6,424.0,59.5,29.3,640.0,1.22,0.5,0.16,0.18,-98.0,-1.0,-159.0,30.0,0.0,1.0,1.0,2021 Summer,
Galben, RO,29.0,55.2,2.7,3.1,4.1,8.0,5.0,328.0,73.3,18.7,376.0,1.17,0.26,0.31,0.22,-292.0,-1.0,-308.0,24.1,17.2,0.0,1.0,2021 Summer,
Gama, IT,3.0,33.3,1.5,0.3,5.0,7.0,1.0,208.0,71.1,5.2,86.0,2.29,1.09,0.34,0.35,-207.0,-3.0,-529.0,0.0,0.0,0.0,,2021 Summer,
Gamsu, KR,18.0,66.7,4.4,3.1,2.4,7.4,7.1,385.0,57.7,19.8,444.0,0.78,0.34,0.18,0.09,-211.0,-5.0,97.0,33.3,16.7,0.0,8.0,2021 Summer,
Gango, KR,14.0,28.6,3.5,2.7,2.3,5.3,9.3,406.0,78.3,31.3,567.0,1.1,0.51,0.35,0.14,196.0,8.0,217.0,0.0,0.0,0.0,,2021 Summer,
Gariaru, JP,14.0,7.1,1.9,1.3,2.9,4.4,7.3,327.0,69.1,21.6,377.0,1.17,0.58,0.2,0.21,-516.0,-5.0,-430.0,21.4,7.1,0.0,1.0,2021 Summer,
Garp, CZ,39.0,56.4,2.7,2.7,3.3,6.3,6.7,360.0,53.0,20.1,439.0,0.8,0.33,0.1,0.14,-227.0,-3.0,-117.0,17.9,7.7,0.0,21.0,2021 Summer,
Garvey, CN,17.0,41.2,2.6,2.7,3.6,6.7,7.8,382.0,62.0,25.8,527.0,,0.38,0.21,0.18,,,,,,0.0,,2021 Summer,
Gastruks, AR,14.0,42.9,4.0,1.0,2.8,10.1,1.6,248.0,74.7,7.5,187.0,2.28,1.29,0.32,0.46,208.0,6.0,225.0,28.6,0.0,0.0,,2021 Summer,
Gattsu, CZ,1.0,0.0,0.5,0.0,6.0,3.0,5.2,265.0,37.5,19.7,319.0,0.38,0.22,0.06,0.0,-640.0,-39.0,-1162.0,0.0,100.0,0.0,,2021 Summer,
Gemini, TW,31.0,64.5,3.6,3.2,2.9,7.1,5.6,358.0,66.2,17.7,370.0,1.35,0.45,0.32,0.38,155.0,2.0,122.0,54.8,3.2,0.0,5.0,2021 Summer,
Gemon, IT,14.0,28.6,1.9,1.6,2.9,4.0,6.2,314.0,48.0,21.4,379.0,0.89,0.42,0.15,0.11,-791.0,-25.0,-806.0,28.6,0.0,0.0,4.0,2021 Summer,
Get Lost, RU,17.0,52.9,3.2,3.5,3.1,6.6,7.0,366.0,70.7,23.9,468.0,0.98,0.44,0.16,0.17,-226.0,-23.0,-467.0,29.4,0.0,0.0,7.0,2021 Summer,
Ghost, KR,59.0,71.2,5.2,3.5,1.9,6.4,8.6,414.0,64.3,23.6,491.0,1.35,0.69,0.3,0.21,70.0,-1.0,79.0,13.6,1.7,0.0,5.0,2021 Summer,
Giyuu, LB,24.0,62.5,3.6,3.5,2.4,5.0,8.7,409.0,67.7,21.8,414.0,1.26,0.49,0.22,0.17,20.0,-5.0,-82.0,16.7,12.5,0.0,10.0,2021 Summer,
Gloomy, ES,3.0,66.7,1.8,0.3,4.0,6.7,2.0,229.0,60.1,5.8,126.0,1.89,0.82,0.37,0.24,-1140.0,-11.0,-291.0,0.0,66.7,0.0,,2021 Summer,
Glory2, VN,42.0,50.0,4.1,4.2,2.6,6.6,9.0,426.0,64.2,26.7,535.0,1.22,0.5,0.28,0.19,299.0,13.0,267.0,14.3,19.0,0.0,28.0,2021 Summer,
Glowing, DE,25.0,44.0,3.4,4.8,2.8,4.7,8.6,416.0,65.7,27.0,540.0,0.87,0.39,0.16,0.22,94.0,-1.0,-72.0,28.0,4.0,0.0,10.0,2021 Summer,
Godux, LV,14.0,42.9,2.5,3.2,3.6,5.6,7.0,381.0,48.8,18.3,441.0,0.87,0.28,0.18,0.08,-634.0,-10.0,-483.0,7.1,0.0,0.0,5.0,2021 Summer,
Goku, BR,2.0,50.0,9.3,0.0,1.5,14.0,1.3,247.0,89.9,8.8,160.0,2.58,1.46,0.4,0.54,222.0,8.0,558.0,0.0,0.0,0.0,,2021 Summer,
Goodo, KR,21.0,14.3,2.3,2.7,3.3,5.0,5.1,315.0,67.1,17.7,289.0,1.11,0.42,0.27,0.36,-320.0,-9.0,-438.0,57.1,4.8,0.0,3.0,2021 Summer,
Goot, BR,25.0,64.0,4.3,3.1,2.2,6.3,5.8,350.0,71.5,18.6,341.0,1.33,0.36,0.34,0.34,42.0,-0.0,20.0,28.0,4.0,0.0,2.0,2021 Summer,
Gori, KR,56.0,53.6,3.1,3.2,2.5,4.6,8.6,393.0,60.6,22.9,470.0,1.05,0.42,0.28,0.24,-404.0,-10.0,-254.0,14.3,17.9,0.0,17.0,2021 Summer,
Gorny, CZ,3.0,33.3,3.6,2.0,2.3,6.3,5.3,308.0,89.5,20.5,356.0,1.08,0.19,0.33,0.18,205.0,-0.0,430.0,0.0,0.0,0.0,,2021 Summer,
Gosberg, MK,35.0,42.9,2.8,4.1,3.4,5.5,8.8,420.0,64.9,28.6,578.0,0.93,0.42,0.22,0.19,-142.0,-2.0,-23.0,20.0,8.6,0.0,6.0,2021 Summer,
Gotzy, PT,23.0,30.4,3.0,3.0,2.1,3.3,9.0,406.0,54.5,29.4,519.0,1.01,0.36,0.26,0.11,-113.0,8.0,-69.0,17.4,0.0,0.0,1.0,2021 Summer,
Grec, FR,6.0,0.0,1.4,0.7,2.8,3.3,8.2,345.0,45.9,21.0,350.0,1.03,0.58,0.23,0.11,-969.0,-20.0,-644.0,16.7,0.0,0.0,1.0,2021 Summer,
Grell, MX,25.0,64.0,4.2,4.2,2.7,7.4,6.6,379.0,73.3,18.5,399.0,1.19,0.31,0.27,0.24,405.0,2.0,202.0,40.0,16.0,0.0,8.0,2021 Summer,
Grevthar, BR,34.0,58.8,4.4,3.1,2.3,6.7,7.5,374.0,64.5,20.2,377.0,1.19,0.49,0.2,0.23,-209.0,-10.0,-274.0,26.5,11.8,0.0,6.0,2021 Summer,
Griffin, US,5.0,20.0,2.1,2.0,3.0,4.4,6.3,344.0,77.6,14.9,239.0,1.31,0.33,0.35,0.28,537.0,9.0,511.0,60.0,0.0,0.0,,2021 Summer,
Griffon, RU,27.0,66.7,3.5,4.6,3.3,7.0,9.1,440.0,69.4,30.1,609.0,1.2,0.41,0.27,0.16,231.0,3.0,56.0,18.5,18.5,0.0,7.0,2021 Summer,
Grindyzer, BE,8.0,25.0,1.9,0.4,4.9,9.1,1.1,213.0,65.0,9.3,191.0,1.71,0.88,0.2,0.19,-345.0,6.0,-481.0,0.0,25.0,0.0,,2021 Summer,
