"Tournament,Team1,Team2,WinTeam,LossTeam,Team1Players,Team2Players,Team1Dragons,Team2Dragons,Team1Barons,Team2Barons,Team1Towers,Team2Towers,Team1RiftHeralds,Team2RiftHeralds,Team1Inhibitors,Team2Inhibitors,MatchHistory"
"""LVP SL 2022 Spring"",""Giants (Spanish Team)"",""Team Heretics"",""Giants (Spanish Team)"",""Team Heretics"",""Th3Antonio,Maxlore,Milica,Attila,Stend"",""Satorius,bluerzor,Zwyroo,Jackspektra,whiteinn"",3,4,1,1,8,4,0,2,1,0,"
"""LVP SL 2022 Spring"",""Giants (Spanish Team)"",""UCAM Tokiers"",""Giants (Spanish Team)"",""UCAM Tokiers"",""Th3Antonio,Maxlore,Milica,Attila,Stend"",""Rubi0o,Nji,Xaky,Afm,Homi"",4,0,1,0,10,1,2,0,1,0,"
"""LVP SL 2022 Spring"",""KOI (Spanish Team)"",""BISONS ECLUB"",""KOI (Spanish Team)"",""BISONS ECLUB"",""SLT,Koldo,Hatrixx,Rafitta,seaz"",""Myrwn,Albetrayber,Random,Guubi,Oscure"",3,1,1,0,9,5,2,0,2,0,"
"""LVP SL 2022 Spring"",""KOI (Spanish Team)"",""G2 Arctic"",""G2 Arctic"",""KOI (Spanish Team)"",""SLT,Koldo,Hatrixx,Rafitta,seaz"",""Color,Alexx,Fresskowy,Supa,Efias"",0,4,0,1,2,11,0,2,0,3,"
"""LVP SL 2022 Spring"",""KOI (Spanish Team)"",""Giants (Spanish Team)"",""Giants (Spanish Team)"",""KOI (Spanish Team)"",""SLT,Koldo,Hatrixx,Rafitta,seaz"",""Th3Antonio,Maxlore,Milica,Attila,Stend"",1,4,0,2,3,10,1,1,0,2,"
"""LVP SL 2022 Spring"",""KOI (Spanish Team)"",""MAD Lions Madrid"",""KOI (Spanish Team)"",""MAD Lions Madrid"",""SLT,Koldo,Hatrixx,Rafitta,seaz"",""Gaethan,Hadess,Knighter,DenVoksne,Lilipp"",2,2,1,0,7,2,2,0,1,0,"
"""LVP SL 2022 Spring"",""KOI (Spanish Team)"",""MAD Lions Madrid"",""KOI (Spanish Team)"",""MAD Lions Madrid"",""SLT,Koldo,Hatrixx,Rafitta,seaz"",""Gaethan,Hadess,Knighter,DenVoksne,Lilipp"",3,1,1,1,9,7,0,2,1,0,"
"""LVP SL 2022 Spring"",""KOI (Spanish Team)"",""Movistar Riders"",""Movistar Riders"",""KOI (Spanish Team)"",""SLT,Koldo,Hatrixx,Rafitta,seaz"",""Marky (Pedro José Serrano),Kadir,xKenzuke,Tazaku,Pyrka"",1,3,0,2,6,8,1,1,0,1,"
"""LVP SL 2022 Spring"",""KOI (Spanish Team)"",""Team Heretics"",""KOI (Spanish Team)"",""Team Heretics"",""SLT,Koldo,Hatrixx,Rafitta,seaz"",""Satorius,bluerzor,Zwyroo,Jackspektra,whiteinn"",2,3,1,0,8,2,1,1,1,0,"
"""LVP SL 2022 Spring"",""KOI (Spanish Team)"",""UCAM Tokiers"",""KOI (Spanish Team)"",""UCAM Tokiers"",""SLT,Koldo,Hatrixx,Rafitta,seaz"",""Rubi0o,Nji,Xaky,Afm,Homi"",4,1,2,0,11,4,2,0,4,0,"
"""LVP SL 2022 Spring"",""KOI (Spanish Team)"",""UCAM Tokiers"",""KOI (Spanish Team)"",""UCAM Tokiers"",""SLT,Koldo,Hatrixx,Rafitta,seaz"",""Rubi0o,Boukada,Xaky,Afm,Homi"",2,4,1,1,8,4,0,2,1,0,"
