hist_id,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CS-Min,Gold-Min,KP%,DMG%,DP-Min,Vision Puntuation Min,Avg Wards Min,Avg Wards Cleared Min,Avg Vision Wards Min,Gold Difference Min-15,CS Difference Min-15,XP Difference Min-15,First Blood Participation %,First Blood Victim %,Penta Kills,Solo Kills,Split,Team,Player
6151,Poland,24,62.5,4.2,4.5,3.1,8.5,5.7,374.0,68.9,19.1,450.0,1.25,0.33,0.31,0.25,528.0,1.0,108.0,45.8,4.2,0.0,3.0,4,,3649
6152,USA,50,54.0,3.5,3.5,2.2,4.4,9.4,425.0,61.4,28.6,563.0,1.14,0.48,0.29,0.18,24.0,1.0,104.0,12.0,18.0,0.0,7.0,4,,3653
6153,Hungary,5,80.0,4.6,3.6,2.2,6.6,8.4,416.0,65.2,25.8,482.0,0.88,0.41,0.14,0.1,-461.0,-1.0,-192.0,40.0,0.0,0.0,,4,,3654
6154,South Korea,32,31.3,2.9,2.8,2.5,4.4,9.5,413.0,62.3,27.1,503.0,1.67,0.69,0.51,0.19,82.0,2.0,-84.0,18.8,3.1,0.0,8.0,4,,3657
6155,Denmark,22,54.5,5.4,4.1,2.0,7.0,8.4,420.0,64.7,25.5,518.0,1.47,0.61,0.35,0.12,-125.0,-9.0,-219.0,18.2,4.5,0.0,,4,,3662
6156,Chile,23,47.8,3.1,4.2,2.8,4.7,8.6,414.0,58.2,22.4,455.0,1.05,0.43,0.15,0.21,-54.0,-5.0,-67.0,21.7,8.7,0.0,5.0,4,,3663
6157,Vietnam,33,45.5,3.2,0.8,3.2,9.1,1.0,235.0,64.0,9.2,196.0,2.65,1.74,0.35,0.49,77.0,-1.0,27.0,36.4,3.0,0.0,1.0,4,,3664
6158,Australia,38,55.3,3.7,3.3,2.5,6.0,9.0,426.0,62.1,23.1,435.0,1.23,0.48,0.19,0.17,100.0,6.0,62.0,23.7,7.9,0.0,8.0,4,,3666
6159,Belgium,50,68.0,4.3,1.1,2.8,10.8,1.6,258.0,69.0,8.6,193.0,2.96,1.47,0.54,0.43,67.0,1.0,-108.0,30.0,22.0,0.0,,4,,3670
6160,South Korea,82,58.5,5.0,2.8,2.0,6.9,6.1,352.0,70.4,17.9,348.0,1.7,0.39,0.38,0.24,205.0,5.0,340.0,6.1,2.4,0.0,6.0,4,,3672
6161,Serbia and Montenegro,21,61.9,4.4,1.0,2.9,11.6,1.1,243.0,77.0,8.7,176.0,2.3,1.22,0.25,0.35,-62.0,-0.0,4.0,28.6,9.5,0.0,,4,,3673
6162,Russia,13,15.4,1.6,1.2,2.5,2.8,6.7,312.0,38.6,21.0,314.0,0.84,0.41,0.16,0.12,-1008.0,-21.0,-572.0,0.0,15.4,0.0,3.0,4,,3674
6163,Finland,28,21.4,1.7,2.5,4.3,4.6,7.1,346.0,54.7,21.4,428.0,0.87,0.47,0.12,0.17,-451.0,-6.0,-304.0,14.3,14.3,0.0,6.0,4,,3676
6164,Denmark,30,63.3,5.2,2.9,1.9,6.9,5.3,333.0,65.7,15.3,319.0,1.3,0.35,0.32,0.28,-94.0,-1.0,-63.0,33.3,10.0,0.0,3.0,4,,3678
6165,Brasil,21,47.6,2.9,3.0,2.7,4.9,7.3,366.0,54.8,19.4,381.0,0.94,0.42,0.16,0.14,-731.0,-16.0,-656.0,9.5,9.5,0.0,6.0,4,,3679
6166,Germany,18,27.8,3.6,4.2,2.3,4.1,8.9,412.0,67.3,30.5,532.0,1.45,0.61,0.36,0.2,115.0,-0.0,170.0,27.8,11.1,0.0,4.0,4,,3681
6167,USA,49,46.9,2.7,3.3,3.2,5.2,8.6,409.0,57.1,24.5,519.0,0.92,0.36,0.21,0.12,-386.0,-5.0,-228.0,22.4,12.2,0.0,8.0,4,,3684
6168,Germany,3,33.3,1.7,3.0,5.0,5.3,4.9,315.0,60.3,19.5,346.0,0.9,0.17,0.25,0.15,-709.0,-17.0,-934.0,0.0,33.3,0.0,1.0,4,,3688
6169,South Korea,28,57.1,6.2,3.4,1.5,5.9,8.7,420.0,70.4,28.4,545.0,1.78,0.8,0.46,0.23,360.0,5.0,318.0,17.9,0.0,0.0,4.0,4,,3689
6170,Estonia,11,45.5,2.6,4.6,4.5,6.8,5.5,361.0,63.9,18.9,428.0,1.05,0.25,0.26,0.17,-34.0,3.0,8.0,36.4,0.0,0.0,6.0,4,,3691
6171,Brasil,25,64.0,2.8,1.0,3.4,8.3,1.6,242.0,70.2,8.1,144.0,2.58,1.37,0.35,0.42,97.0,2.0,87.0,28.0,20.0,0.0,,4,,3693
6172,Canada,46,58.7,2.9,3.5,3.5,6.5,7.8,404.0,58.2,22.6,549.0,0.97,0.35,0.17,0.14,-160.0,0.0,-93.0,19.6,21.7,0.0,20.0,4,,3696
6173,Czech Republic,6,66.7,3.4,4.0,2.7,5.0,7.7,404.0,59.2,20.1,471.0,0.9,0.49,0.09,0.28,227.0,6.0,197.0,33.3,0.0,0.0,3.0,4,,3698
6174,Serbia and Montenegro,1,0.0,5.0,0.0,1.0,5.0,0.8,225.0,71.4,20.9,246.0,1.45,0.59,0.27,0.23,-489.0,-19.0,71.0,100.0,0.0,0.0,,4,,3699
6175,Spain,41,53.7,2.8,2.0,2.8,5.7,7.2,357.0,55.2,22.4,463.0,0.91,0.42,0.14,0.11,-54.0,-5.0,-53.0,19.5,4.9,0.0,12.0,4,12,3702
6176,Greece,1,0.0,2.0,0.0,4.0,8.0,0.2,210.0,72.7,10.6,178.0,1.47,0.77,0.11,0.21,-1362.0,-5.0,-805.0,0.0,100.0,0.0,,4,,3712
6177,South Korea,18,38.9,1.7,3.2,4.3,3.9,8.2,398.0,49.6,27.3,588.0,,0.27,0.21,0.12,,,,,,0.0,,4,,3713
6178,Australia,36,25.0,1.6,2.6,4.1,4.1,7.7,368.0,54.8,24.1,479.0,0.96,0.39,0.17,0.19,-409.0,-6.0,-172.0,22.2,16.7,0.0,19.0,4,,3718
6179,Croatia,25,60.0,4.2,1.1,3.0,11.7,0.9,237.0,76.2,8.2,173.0,2.34,1.21,0.3,0.22,-6.0,-4.0,109.0,32.0,12.0,0.0,1.0,4,,3722
6180,Australia,20,35.0,2.2,3.6,4.1,5.3,8.6,404.0,59.2,26.7,510.0,0.97,0.45,0.19,0.16,-176.0,1.0,-157.0,20.0,5.0,0.0,2.0,4,,3723
6181,Czech Republic,2,50.0,3.8,6.5,2.5,3.0,8.0,421.0,69.7,30.7,557.0,1.04,0.21,0.43,0.11,624.0,0.0,726.0,0.0,0.0,0.0,2.0,4,,3724
6182,Brasil,8,62.5,4.4,2.6,3.0,10.5,7.5,366.0,72.6,20.3,444.0,1.6,0.68,0.34,0.3,-213.0,-9.0,-414.0,12.5,12.5,0.0,,4,,3726
6183,China,56,66.1,3.3,3.1,3.1,7.0,6.0,358.0,65.8,16.7,359.0,1.64,0.45,0.4,0.4,-581.0,-3.0,-190.0,0.0,1.8,0.0,1.0,4,,3729
6184,Finland,16,18.8,2.5,0.6,3.3,7.6,1.4,222.0,61.8,7.7,139.0,3.02,1.78,0.5,0.56,-46.0,1.0,229.0,31.3,12.5,0.0,1.0,4,,3730
6185,Turkey,5,40.0,1.8,0.4,4.2,7.0,1.0,230.0,48.2,8.6,172.0,2.02,0.85,0.27,0.24,-210.0,-1.0,474.0,20.0,20.0,0.0,,4,,3734
6186,Italy,21,47.6,3.1,0.5,2.9,8.5,1.0,224.0,67.4,7.7,131.0,2.16,1.29,0.27,0.48,-188.0,-4.0,133.0,14.3,4.8,0.0,,4,,3742
6187,Brasil,23,69.6,5.0,4.0,2.4,8.0,7.9,400.0,65.6,24.7,571.0,1.17,0.55,0.25,0.29,-21.0,-0.0,61.0,8.7,8.7,0.0,3.0,4,,3743
6188,Brasil,38,57.9,4.4,4.4,2.3,5.8,9.2,443.0,63.0,28.4,580.0,1.39,0.62,0.3,0.3,-74.0,3.0,376.0,28.9,10.5,1.0,10.0,4,,3746
6189,Brasil,18,44.4,3.0,2.4,2.9,6.6,7.6,363.0,62.3,23.7,442.0,0.97,0.45,0.16,0.26,-232.0,-8.0,-71.0,27.8,11.1,0.0,1.0,4,,3747
6190,United Kingdom,14,64.3,3.7,6.6,3.7,6.9,7.9,434.0,63.2,30.4,749.0,0.89,0.43,0.15,0.13,550.0,6.0,331.0,35.7,14.3,0.0,3.0,4,,3752
6191,Portugal,18,38.9,3.0,1.4,3.4,8.9,1.9,241.0,68.2,9.0,168.0,2.09,1.23,0.27,0.48,-383.0,-5.0,-226.0,33.3,16.7,0.0,1.0,4,,3755
6192,South Korea,23,47.8,3.1,2.8,3.2,7.3,8.6,396.0,67.7,26.1,538.0,1.37,0.54,0.26,0.23,88.0,4.0,4.0,26.1,4.3,0.0,5.0,4,,3760
6193,Turkey,34,38.2,2.0,0.6,4.2,7.7,1.2,235.0,60.5,7.7,152.0,2.96,1.6,0.47,0.48,43.0,3.0,97.0,14.7,20.6,0.0,1.0,4,,3761
6194,Czech Republic,4,25.0,1.8,2.3,3.0,3.3,7.2,353.0,56.2,23.7,427.0,0.72,0.32,0.14,0.11,-535.0,8.0,-34.0,25.0,25.0,0.0,1.0,4,,3764
6195,Canada,13,38.5,3.4,2.7,2.5,5.8,5.8,335.0,71.2,18.1,316.0,1.33,0.32,0.33,0.22,-166.0,-10.0,-320.0,30.8,15.4,0.0,,4,,3765
6196,Finland,11,45.5,3.7,3.3,2.7,6.8,8.5,407.0,52.1,26.3,514.0,1.1,0.36,0.24,0.17,16.0,-2.0,149.0,9.1,0.0,0.0,2.0,4,,3766
6197,USA,33,57.6,4.2,3.5,2.5,6.8,9.2,426.0,63.5,28.1,588.0,1.08,0.4,0.32,0.14,67.0,3.0,165.0,36.4,9.1,0.0,5.0,4,,3768
6198,France,24,25.0,2.5,3.0,3.0,4.7,8.9,405.0,64.2,26.4,480.0,1.08,0.42,0.26,0.22,-222.0,-3.0,-106.0,12.5,4.2,0.0,4.0,4,,3770
6199,Canada,49,46.9,2.5,3.0,3.0,4.5,7.5,383.0,49.7,20.6,432.0,0.87,0.39,0.13,0.14,300.0,2.0,264.0,18.4,8.2,0.0,9.0,4,,3772
6200,Argentina,26,50.0,3.0,3.3,2.9,5.5,8.0,381.0,65.8,22.3,429.0,1.11,0.4,0.2,0.11,-20.0,-1.0,28.0,23.1,7.7,0.0,6.0,4,,3773
6201,Norway,21,57.1,3.7,1.0,2.9,9.5,1.2,234.0,73.0,7.4,154.0,3.15,1.59,0.44,0.41,-15.0,-1.0,-95.0,23.8,14.3,0.0,,4,17,3777
6202,Cyprus,4,75.0,8.0,2.5,1.0,5.5,7.7,405.0,48.6,17.3,359.0,0.98,0.36,0.16,0.14,-152.0,0.0,31.0,0.0,0.0,0.0,1.0,4,,3779
6203,Norway,19,52.6,2.8,0.8,2.9,7.6,1.2,236.0,60.7,6.7,125.0,2.66,1.36,0.36,0.38,-191.0,2.0,-114.0,26.3,0.0,0.0,,4,,3780
6204,France,17,35.3,3.3,4.1,3.0,5.7,8.3,409.0,68.2,26.7,528.0,1.06,0.42,0.16,0.17,399.0,5.0,-26.0,17.6,11.8,0.0,2.0,4,,3781
6205,Czech Republic,3,33.3,1.9,1.7,3.0,4.0,8.7,380.0,73.0,28.6,491.0,0.87,0.45,0.12,0.11,-246.0,-8.0,-274.0,0.0,0.0,0.0,,4,,3782
6206,Sweden,18,27.8,2.5,1.9,2.8,5.2,5.7,322.0,71.1,21.6,389.0,1.33,0.31,0.34,0.21,-190.0,-5.0,-28.0,44.4,5.6,0.0,6.0,4,,3792
6207,Brasil,30,60.0,4.3,4.4,2.4,5.9,8.2,415.0,64.3,26.3,605.0,1.44,0.66,0.33,0.2,84.0,-1.0,-201.0,23.3,6.7,0.0,3.0,4,,3800
6208,Australia,46,54.3,3.6,3.8,2.8,6.2,8.7,415.0,67.3,25.1,504.0,0.99,0.41,0.18,0.17,47.0,6.0,212.0,15.2,17.4,0.0,20.0,4,,3801
6209,Portugal,16,31.3,2.6,2.6,2.9,4.9,7.3,362.0,54.8,19.2,368.0,0.88,0.4,0.14,0.16,-346.0,-10.0,-31.0,6.3,6.3,0.0,6.0,4,,3807
6210,Poland,37,51.4,2.7,1.0,3.7,8.8,0.9,235.0,68.4,8.1,148.0,2.74,1.57,0.35,0.5,52.0,-3.0,-25.0,37.8,18.9,0.0,,4,,3810
6211,Greece,41,58.5,4.4,4.2,2.5,6.7,7.4,386.0,68.5,28.8,595.0,1.13,0.41,0.16,0.13,-81.0,-8.0,-375.0,26.8,9.8,0.0,14.0,4,,3811
6212,Canada,5,20.0,2.2,2.0,3.0,4.6,9.2,405.0,76.4,29.6,453.0,0.98,0.39,0.18,0.1,-48.0,-5.0,-191.0,40.0,0.0,0.0,,4,,3816
6213,Netherlands,18,66.7,2.9,3.3,3.4,6.4,7.3,379.0,55.3,24.6,492.0,1.14,0.54,0.17,0.21,-305.0,-13.0,-324.0,22.2,27.8,0.0,8.0,4,,3821
6214,South Korea,17,41.2,3.0,2.4,3.2,7.1,5.4,326.0,73.1,14.8,289.0,1.43,0.36,0.38,0.3,-94.0,-4.0,-195.0,35.3,5.9,0.0,,4,,3825
6215,Brasil,21,57.1,4.6,3.7,2.5,8.0,7.9,394.0,70.5,22.6,488.0,0.98,0.43,0.19,0.32,-98.0,0.0,-124.0,38.1,0.0,0.0,2.0,4,,3826
