Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
Wylenz, FR,22,54.5%,3,3.3,3.0,5.7,7.1,384,56.3%,21.5,425,0.75,0.29,0.13,0.16,50,-2,-118,59.1%,4.5%,0,9,2021 Summer
Wysek, PL,13,30.8%,2,2.3,3.2,4.2,6.0,335,75.7%,19.2,303,1.22,0.36,0.3,0.26,-181,2,-101,46.2%,0%,0,-,2021 Summer
XUN, CN,37,40.5%,3,3.5,3.2,6.1,5.9,362,73.9%,18.3,375,-,0.31,0.29,0.3,-,-,-,-,-,0,-,2021 Summer
Xaky, PT,43,65.1%,4.9,4.1,2.2,6.5,8.5,408,69.1%,25.5,523,1.13,0.42,0.23,0.12,239,6,141,20.9%,14%,0,9,2021 Summer
Xanfii, CZ,3,33.3%,2.8,2.3,2.7,5.0,6.6,352,68.3%,17.5,309,1.07,0.3,0.34,0.32,26,19,324,33.3%,0%,0,-,2021 Summer
Xeanny, HU,14,50%,2.4,3.0,3.1,4.3,6.8,362,59%,18.5,343,0.8,0.31,0.18,0.14,-855,-7,-282,7.1%,0%,0,8,2021 Summer
Xerxe, RO,34,50%,4.2,2.9,2.2,6.6,5.9,339,71.9%,18.9,353,1.39,0.47,0.31,0.32,63,3,68,35.3%,5.9%,0,2,2021 Summer
Xiaohao, CN,24,45.8%,3.5,3.4,2.8,6.6,5.9,348,73.3%,17.2,348,-,0.34,0.31,0.26,-,-,-,-,-,0,-,2021 Summer
Xiaolaohu, CN,3,100%,12,8.0,1.3,8.0,8.7,492,76%,27.2,623,-,0.27,0.33,0.14,-,-,-,-,-,0,-,2021 Summer
Xiaopeng, CN,36,22.2%,2.1,3.3,3.6,4.5,5.8,345,75.4%,20.2,377,-,0.52,0.46,0.29,-,-,-,-,-,0,-,2021 Summer
Xiaotu, CN,18,5.6%,1.1,2.5,5.2,3.3,7.2,352,58%,20.7,392,0.83,0.31,0.17,0.15,-725,-8,-492,5.6%,5.6%,0,7,2021 Summer
Xico, PT,17,47.1%,3.4,3.9,3.3,7.2,8.6,412,70.6%,22.8,490,1.13,0.45,0.18,0.15,-39,2,-86,29.4%,23.5%,0,2,2021 Summer
XinJie7, IT,3,0%,0.9,1.3,4.3,2.7,5.4,306,86.1%,17.2,226,1.08,0.28,0.38,0.31,-1240,-27,-881,33.3%,33.3%,0,-,2021 Summer
XinLiu, CN,33,39.4%,3.1,0.5,2.8,8.1,1.2,233,67%,6.5,131,-,1.65,0.4,0.58,-,-,-,-,-,0,-,2021 Summer
Xintox, FR,9,44.4%,2.4,0.9,4.3,9.4,1.2,245,57.7%,7.3,156,2.68,1.8,0.3,0.6,210,5,199,22.2%,22.2%,0,-,2021 Summer
XoNix, UA,26,61.5%,3.7,3.4,2.5,5.7,8.5,400,66.3%,24.5,507,0.98,0.43,0.17,0.21,305,5,212,53.8%,15.4%,0,6,2021 Summer
XuHao, VN,16,43.8%,3,1.1,3.9,10.8,1.1,247,62.2%,9.1,225,2.27,1.38,0.28,0.48,-205,2,-72,18.8%,6.3%,0,-,2021 Summer
Xyliath, PH,20,30%,3.3,2.3,3.0,7.5,7.0,347,67.9%,21.1,370,1.14,0.48,0.22,0.18,-483,-16,-489,15%,5%,0,1,2021 Summer
Xyster,,4,50%,2.1,4.0,3.5,3.3,7.5,366,49%,17.6,327,0.82,0.36,0.11,0.1,-1074,-32,-949,0%,0%,0,1,2021 Summer
Yado, VN,42,76.2%,5.9,3.9,2.1,8.7,8.3,419,65.2%,27.9,651,1.34,0.52,0.29,0.28,412,8,359,21.4%,16.7%,0,13,2021 Summer
Yagao, CN,37,45.9%,3.4,3.4,2.7,5.7,8.1,388,65.9%,24.7,502,-,0.33,0.24,0.15,-,-,-,-,-,0,-,2021 Summer
