Player,Country,Games,Win rate,KDA,Avg kills,Avg deaths,Avg assists,CSM,GPM,KP%,DMG%,DPM,VSPM,Avg WPM,Avg WCPM,Avg VWPM,GD@15,CSD@15,XPD@15,FB %,FB Victim,Penta Kills,Solo Kills,Split
Djoko, FR,2,50%,3.8,0.5,3.0,11.0,4.7,368,74.6%,14.9,287,-,1.17,0.49,0.1,304,6,622,100%,0%,0,-,2016 Spring
Doinb, KR,33,66.7%,3.9,3.8,2.8,7.0,8.2,356,69.2%,28.5,471,-,0.62,0.32,0.09,-511,-14,-589,6.1%,3%,0,-,2016 Spring
Doublelift, US,38,55.3%,3.8,4.4,2.6,5.6,8.7,422,68.9%,28,580,-,0.45,0.32,0.07,-82,2,39,15.8%,2.6%,1,7,2016 Spring
Dreamer,,8,37.5%,2.0,0.1,2.4,4.6,1.4,248,74.7%,6.7,103,-,1.53,0.35,0.33,-135,5,-300,0%,25%,0,-,2016 Spring
Duke, KR,76,71.1%,5.3,2.6,1.6,6.0,8.2,402,63.6%,18.2,395,-,0.45,0.13,0.06,186,7,412,18.4%,6.6%,0,21,2016 Spring
Dumbledoge, TR,17,41.2%,2.6,0.9,2.8,6.6,1.0,261,66.3%,10.4,220,-,1.2,0.4,0.22,-248,-1,-398,11.8%,17.6%,0,1,2016 Spring
Easyhoon, KR,47,51.1%,3.9,3.1,2.3,5.7,8.6,-,70.7%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Edge, KR,47,19.1%,2.8,2.2,2.0,3.4,8.6,371,69.7%,29.8,527,-,0.45,0.18,0.11,-56,1,-13,21.3%,10.6%,0,9,2016 Spring
Edward, AM,4,25%,1.8,0.8,2.5,3.8,1.3,249,53.2%,3.4,51,-,1.23,0.41,0.27,126,4,-20,25%,0%,0,-,2016 Spring
Eika, FR,18,33.3%,1.9,1.8,2.9,3.7,8.3,368,63.7%,28.5,493,-,0.61,0.17,0.12,-359,-11,-472,27.8%,11.1%,0,1,2016 Spring
Eimy,,27,59.3%,3.6,2.3,2.4,6.3,3.7,-,64.9%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Ella,,46,54.3%,3.1,0.5,2.6,7.4,1.4,-,69.7%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Emperor, KR,36,63.9%,3.4,3.4,2.5,5.3,8.5,416,63.6%,25.2,518,-,0.42,0.2,0.05,-48,-5,-191,16.7%,2.8%,0,3,2016 Spring
Endless,,47,51.1%,3.7,3.4,2.4,5.5,8.2,-,68.1%,-,-,-,-,-,-,-,-,-,-,-,-,-,2016 Spring
Eve,,2,0%,0.8,1.0,3.0,1.5,4.0,308,100%,15.4,219,-,0.7,0.47,0.08,-708,-14,-548,0%,0%,0,-,2016 Spring
Expession,,26,50%,3.6,1.8,1.7,4.2,7.8,379,63.8%,18.8,345,-,0.5,0.17,0.08,206,4,171,26.9%,11.5%,0,2,2016 Spring
FORG1VEN, GR,28,64.3%,5.8,3.1,1.4,5.0,9.8,432,68.8%,31.4,596,-,0.5,0.3,0.02,299,12,332,17.9%,7.1%,0,-,2016 Spring
Faker, KR,75,72%,4.6,3.8,2.1,5.7,8.7,428,68.1%,29.3,632,-,0.56,0.25,0.09,163,4,202,18.7%,10.7%,0,28,2016 Spring
Febiven, NL,44,50%,4.7,3.4,1.8,5.0,8.8,403,70.6%,26.8,472,-,0.49,0.16,0.1,130,4,200,22.7%,9.1%,0,6,2016 Spring
